model_id,provider,max_input_tokens,max_output_tokens,input_cost_per_token,output_cost_per_token,supports_vision,supports_function_calling,input_cost_per_1M,output_cost_per_1M
openrouter/openai/gpt-4.1-nano-2025-04-14,openrouter,1047576,32768,1e-07,4e-07,True,True,0.09999999999999999,0.39999999999999997
openrouter/openai/gpt-4.1-nano,openrouter,1047576,32768,1e-07,4e-07,True,True,0.09999999999999999,0.39999999999999997
openrouter/mistralai/ministral-3b-2512,openrouter,131072,131072,1e-07,1e-07,True,True,0.09999999999999999,0.09999999999999999
openrouter/google/gemini-2.0-flash-001,openrouter,1048576,8192,1e-07,4e-07,True,True,0.09999999999999999,0.39999999999999997
openrouter/google/gemini-pro-vision,openrouter,0,0,1.25e-07,3.75e-07,True,True,0.125,0.375
openrouter/mistralai/ministral-8b-2512,openrouter,262144,262144,1.5e-07,1.5e-07,True,True,0.15,0.15
openrouter/mistralai/ministral-14b-2512,openrouter,262144,262144,2e-07,2e-07,True,True,0.19999999999999998,0.19999999999999998
openrouter/qwen/qwen-vl-plus,openrouter,8192,2048,2.1e-07,6.3e-07,True,False,0.21,0.63
openrouter/anthropic/claude-3-haiku,openrouter,0,0,2.5e-07,1.25e-06,True,True,0.25,1.25
openrouter/anthropic/claude-3-haiku-20240307,openrouter,200000,4096,2.5e-07,1.25e-06,True,True,0.25,1.25
openrouter/google/gemini-2.5-flash,openrouter,1048576,8192,3e-07,2.5e-06,True,True,0.3,2.5
openrouter/openai/gpt-4.1-mini-2025-04-14,openrouter,1047576,32768,4e-07,1.6e-06,True,True,0.39999999999999997,1.5999999999999999
openrouter/openai/gpt-4.1-mini,openrouter,1047576,32768,4e-07,1.6e-06,True,True,0.39999999999999997,1.5999999999999999
openrouter/mistralai/mistral-large-2512,openrouter,262144,262144,5e-07,1.5e-06,True,True,0.5,1.5
openrouter/anthropic/claude-haiku-4.5,openrouter,200000,200000,1e-06,5e-06,True,True,1.0,5.0
openrouter/google/gemini-2.5-pro,openrouter,1048576,8192,1.25e-06,1e-05,True,True,1.25,10.0
openrouter/openai/gpt-5.2-chat,openrouter,128000,16384,1.75e-06,1.4e-05,True,True,1.75,14.0
openrouter/openai/gpt-5.2,openrouter,400000,128000,1.75e-06,1.4e-05,True,True,1.75,14.0
openrouter/google/gemini-3-pro-preview,openrouter,1048576,65535,2e-06,1.2e-05,True,True,2.0,12.0
openrouter/openai/gpt-4.1-2025-04-14,openrouter,1047576,32768,2e-06,8e-06,True,True,2.0,8.0
openrouter/openai/gpt-4.1,openrouter,1047576,32768,2e-06,8e-06,True,True,2.0,8.0
openrouter/openai/gpt-4o,openrouter,128000,4096,2.5e-06,1e-05,True,True,2.5,10.0
openrouter/google/gemini-pro-1.5,openrouter,1000000,8192,2.5e-06,7.5e-06,True,True,2.5,7.5
openrouter/anthropic/claude-3.5-sonnet,openrouter,200000,8192,3e-06,1.5e-05,True,True,3.0,15.0
openrouter/anthropic/claude-3.5-sonnet:beta,openrouter,200000,8192,3e-06,1.5e-05,True,True,3.0,15.0
openrouter/anthropic/claude-3.7-sonnet,openrouter,200000,128000,3e-06,1.5e-05,True,True,3.0,15.0
openrouter/anthropic/claude-3.7-sonnet:beta,openrouter,200000,128000,3e-06,1.5e-05,True,True,3.0,15.0
openrouter/anthropic/claude-sonnet-4.5,openrouter,1000000,1000000,3e-06,1.5e-05,True,True,3.0,15.0
openrouter/anthropic/claude-sonnet-4,openrouter,1000000,64000,3e-06,1.5e-05,True,True,3.0,15.0
openrouter/anthropic/claude-3-sonnet,openrouter,0,0,3e-06,1.5e-05,True,True,3.0,15.0
openrouter/openai/gpt-4o-2024-05-13,openrouter,128000,4096,5e-06,1.5e-05,True,True,5.0,15.0
openrouter/anthropic/claude-opus-4.5,openrouter,200000,32000,5e-06,2.5e-05,True,True,5.0,25.0
openrouter/openai/gpt-4-vision-preview,openrouter,0,0,1e-05,3e-05,True,True,10.0,30.0
openrouter/anthropic/claude-opus-4,openrouter,200000,32000,1.5e-05,7.5e-05,True,True,15.0,75.0
openrouter/openai/o1,openrouter,200000,100000,1.5e-05,6e-05,True,True,15.0,60.0
openrouter/anthropic/claude-3-opus,openrouter,200000,4096,1.5e-05,7.5e-05,True,True,15.0,75.0
openrouter/anthropic/claude-opus-4.1,openrouter,200000,32000,1.5e-05,7.5e-05,True,True,15.0,75.0
openrouter/openai/gpt-5.2-pro,openrouter,400000,128000,2.1e-05,0.000168,True,True,21.0,168.0
